Date,Open,High,Low,Close,Vol.,Change %,high_low,high_close,low_close,TR,ATR
"Dec 14, 2020",178.37,178.56,178.13,178.42,444.21K,-0.15%,0.4300000000000068,0.12000000000000455,0.5500000000000114,0.5500000000000114,0.872734693877552
"Dec 15, 2020",178.37,178.57,178.17,178.27,440.33K,-0.08%,0.4000000000000057,0.15000000000000568,0.25,0.4000000000000057,0.8708130081300823
"Dec 16, 2020",178.28,178.31,177.27,177.55,691.25K,-0.40%,1.039999999999992,0.03999999999999204,1.0,1.039999999999992,0.8714979757085031
"Dec 17, 2020",177.6,177.98,177.34,177.69,519.60K,0.08%,0.6399999999999864,0.4299999999999784,0.21000000000000796,0.6399999999999864,0.8705645161290332
"Dec 18, 2020",177.74,177.85,177.28,177.66,416.57K,-0.02%,0.5699999999999932,0.1599999999999966,0.4099999999999966,0.5699999999999932,0.8693574297188764
"Dec 21, 2020",177.83,178.44,177.61,177.86,520.42K,0.11%,0.8299999999999841,0.7800000000000011,0.04999999999998295,0.8299999999999841,0.8692000000000009
"Dec 22, 2020",177.7,178.09,177.63,177.93,344.00K,0.04%,0.46000000000000796,0.22999999999998977,0.2300000000000182,0.46000000000000796,0.8675697211155388
"Dec 23, 2020",178.07,178.18,177.01,177.07,507.28K,-0.48%,1.170000000000016,0.25,0.9200000000000159,1.170000000000016,0.8687698412698422
"Dec 24, 2020",177.36,177.36,177.36,177.36,-,0.16%,0.0,0.29000000000002046,0.29000000000002046,0.29000000000002046,0.8664822134387362
"Dec 28, 2020",177.35,177.77,177.17,177.39,195.97K,0.02%,0.6000000000000227,0.4099999999999966,0.19000000000002615,0.6000000000000227,0.8654330708661429
"Dec 29, 2020",177.6,177.75,177.52,177.7,265.00K,0.17%,0.22999999999998977,0.36000000000001364,0.13000000000002387,0.36000000000001364,0.863450980392158
"Dec 30, 2020",177.73,177.84,177.27,177.64,306.91K,-0.03%,0.5699999999999932,0.14000000000001478,0.4299999999999784,0.5699999999999932,0.8623046875000011
"Dec 31, 2020",177.84,177.84,177.84,177.84,-,0.11%,0.0,0.20000000000001705,0.20000000000001705,0.20000000000001705,0.8597276264591451
"Jan 04, 2021",177.78,178.37,177.52,178.12,695.84K,0.16%,0.8499999999999943,0.5300000000000011,0.3199999999999932,0.8499999999999943,0.8596899224806213
"Jan 05, 2021",178.22,178.27,177.71,177.9,613.78K,-0.12%,0.5600000000000023,0.15000000000000568,0.4099999999999966,0.5600000000000023,0.8585328185328197
"Jan 06, 2021",177.85,177.85,177.02,177.37,842.16K,-0.30%,0.8299999999999841,0.05000000000001137,0.8799999999999955,0.8799999999999955,0.8586153846153858
"Jan 07, 2021",177.47,177.69,177.17,177.25,792.79K,-0.07%,0.5200000000000102,0.3199999999999932,0.20000000000001705,0.5200000000000102,0.8573180076628364
"Jan 08, 2021",177.33,177.53,177.16,177.3,542.40K,0.03%,0.37000000000000455,0.28000000000000114,0.09000000000000341,0.37000000000000455,0.8554580152671768
"Jan 11, 2021",177.28,177.55,176.84,176.93,739.76K,-0.21%,0.710000000000008,0.25,0.46000000000000796,0.710000000000008,0.8549049429657807
"Jan 12, 2021",176.83,176.87,176.34,176.44,904.00K,-0.28%,0.5300000000000011,0.060000000000002274,0.5900000000000034,0.5900000000000034,0.8539015151515164
"Jan 13, 2021",176.84,177.6,176.72,177.36,989.43K,0.52%,0.8799999999999955,1.1599999999999966,0.28000000000000114,1.1599999999999966,0.855056603773586
"Jan 14, 2021",177.49,177.96,177.32,177.84,748.88K,0.27%,0.6400000000000148,0.5999999999999943,0.040000000000020464,0.6400000000000148,0.8542481203007531
"Jan 15, 2021",177.65,177.94,177.5,177.66,547.66K,-0.10%,0.4399999999999977,0.09999999999999432,0.3400000000000034,0.4399999999999977,0.8526966292134843
"Jan 18, 2021",177.71,177.81,177.24,177.37,432.30K,-0.16%,0.5699999999999932,0.15000000000000568,0.4199999999999875,0.5699999999999932,0.8516417910447773
"Jan 19, 2021",177.31,177.45,177.1,177.4,720.92K,0.02%,0.3499999999999943,0.07999999999998408,0.27000000000001023,0.3499999999999943,0.8497769516728636
"Jan 20, 2021",177.33,177.5,177.25,177.45,506.83K,0.03%,0.25,0.09999999999999432,0.15000000000000568,0.25,0.8475555555555567
"Jan 21, 2021",177.41,177.56,176.74,176.8,860.43K,-0.37%,0.8199999999999932,0.11000000000001364,0.7099999999999795,0.8199999999999932,0.8474538745387465
"Jan 22, 2021",176.76,177.27,176.63,177.16,643.50K,0.20%,0.6400000000000148,0.46999999999999886,0.17000000000001592,0.6400000000000148,0.8466911764705894
"Jan 25, 2021",177.13,177.88,177.12,177.83,675.95K,0.38%,0.7599999999999909,0.7199999999999989,0.03999999999999204,0.7599999999999909,0.8463736263736276
"Jan 26, 2021",177.82,177.96,177.45,177.52,617.11K,-0.17%,0.5100000000000193,0.12999999999999545,0.3800000000000239,0.5100000000000193,0.845145985401461
"Jan 27, 2021",177.56,178.12,177.39,177.79,863.82K,0.15%,0.7300000000000182,0.5999999999999943,0.13000000000002387,0.7300000000000182,0.844727272727274
"Jan 28, 2021",177.64,177.96,177.46,177.77,701.49K,-0.01%,0.5,0.17000000000001592,0.3299999999999841,0.5,0.8434782608695665
"Jan 29, 2021",177.58,177.66,176.89,177.25,1.15M,-0.29%,0.7700000000000102,0.11000000000001364,0.8800000000000239,0.8800000000000239,0.8436101083032504
"Feb 01, 2021",177.36,177.42,176.97,177.22,635.89K,-0.02%,0.44999999999998863,0.1699999999999875,0.28000000000000114,0.44999999999998863,0.8421942446043179
"Feb 02, 2021",177.13,177.23,176.63,176.75,876.69K,-0.27%,0.5999999999999943,0.009999999999990905,0.5900000000000034,0.5999999999999943,0.8413261648745533
"Feb 03, 2021",176.6,176.7,176.35,176.47,761.77K,-0.16%,0.3499999999999943,0.05000000000001137,0.4000000000000057,0.4000000000000057,0.8397500000000013
"Feb 04, 2021",176.35,176.57,176.1,176.32,848.30K,-0.08%,0.46999999999999886,0.09999999999999432,0.37000000000000455,0.46999999999999886,0.8384341637010689
"Feb 05, 2021",176.28,176.48,175.63,176.17,977.99K,-0.09%,0.8499999999999943,0.1599999999999966,0.6899999999999977,0.8499999999999943,0.8384751773049658
"Feb 08, 2021",175.96,176.23,175.61,176.12,643.91K,-0.03%,0.6199999999999761,0.060000000000002274,0.5599999999999739,0.6199999999999761,0.8377031802120153
"Feb 09, 2021",176.1,176.36,175.92,176.21,765.00K,0.05%,0.44000000000002615,0.2400000000000091,0.20000000000001705,0.44000000000002615,0.8363028169014097
"Feb 10, 2021",176.07,176.38,175.94,176.1,688.20K,-0.06%,0.4399999999999977,0.1699999999999875,0.27000000000001023,0.4399999999999977,0.8349122807017556
"Feb 11, 2021",176.27,176.64,176.24,176.43,656.53K,0.19%,0.39999999999997726,0.539999999999992,0.14000000000001478,0.539999999999992,0.8338811188811202
"Feb 12, 2021",176.39,176.53,175.77,175.97,758.70K,-0.26%,0.7599999999999909,0.09999999999999432,0.6599999999999966,0.7599999999999909,0.8336236933797921
"Feb 15, 2021",175.65,175.7,175.15,175.23,670.34K,-0.42%,0.549999999999983,0.27000000000001023,0.8199999999999932,0.8199999999999932,0.8335763888888901
"Feb 16, 2021",175.24,175.45,174.49,174.8,1.05M,-0.25%,0.9599999999999795,0.21999999999999886,0.7399999999999807,0.9599999999999795,0.8340138408304509
"Feb 17, 2021",174.45,175.14,174.38,175.04,1.15M,0.14%,0.7599999999999909,0.339999999999975,0.4200000000000159,0.7599999999999909,0.8337586206896562
"Feb 18, 2021",175.12,175.26,174.38,174.68,1.02M,-0.21%,0.8799999999999955,0.21999999999999886,0.6599999999999966,0.8799999999999955,0.8339175257731969
"Feb 19, 2021",174.64,174.7,173.98,174.18,944.86K,-0.29%,0.7199999999999989,0.01999999999998181,0.700000000000017,0.7199999999999989,0.833527397260275
"Feb 22, 2021",173.95,175.02,173.58,174.72,1.27M,0.31%,1.4399999999999977,0.8400000000000034,0.5999999999999943,1.4399999999999977,0.8355972696245744
"Feb 23, 2021",174.57,174.65,173.82,174.35,1.18M,-0.21%,0.8300000000000125,0.06999999999999318,0.9000000000000057,0.9000000000000057,0.8358163265306132
"Feb 24, 2021",174.49,174.57,173.65,174.04,1.15M,-0.18%,0.9199999999999875,0.21999999999999886,0.6999999999999886,0.9199999999999875,0.8361016949152552
"Feb 25, 2021",174.21,174.25,172.08,173.06,1.70M,-0.56%,2.1699999999999875,0.21000000000000796,1.9599999999999795,2.1699999999999875,0.840608108108109
"Feb 26, 2021",172.11,173.91,172.11,173.4,1.50M,0.20%,1.799999999999983,0.8499999999999943,0.9499999999999886,1.799999999999983,0.8438383838383847
"Mar 01, 2021",174.02,174.75,173.77,174.56,1.15M,0.67%,0.9799999999999898,1.3499999999999943,0.37000000000000455,1.3499999999999943,0.8455369127516787
"Mar 02, 2021",174.75,174.93,174.14,174.67,1.42M,0.06%,0.7900000000000205,0.37000000000000455,0.4200000000000159,0.7900000000000205,0.8453511705685628
"Mar 03, 2021",174.93,174.97,173.75,173.95,1.44M,-0.41%,1.2199999999999989,0.30000000000001137,0.9199999999999875,1.2199999999999989,0.8466000000000009
"Mar 04, 2021",173.79,174.51,173.71,174.27,938.86K,0.18%,0.799999999999983,0.5600000000000023,0.23999999999998067,0.799999999999983,0.8464451827242534
"Mar 05, 2021",173.69,174.28,173.63,174.0,209.17K,-0.15%,0.6500000000000057,0.009999999999990905,0.6400000000000148,0.6500000000000057,0.8457947019867559
